crop,temperature_min,temperature_max,optimal_temperature,rainfall_min,rainfall_max,humidity_min,humidity_max,growing_period,water_requirement,soil_requirements,suitable_agro_ecological_zones,source
Maize,18.0,30.0,24.0,500.0,1200.0,50.0,80.0,120,650.0,"Loam, Sandy Loam, Well-drained","Region I, Region IIa, Region IIb, Region III",FAO Ecocrop & AGRITEX Zimbabwe Cereal Production Manual
Tobacco,15.0,28.0,22.0,600.0,1000.0,55.0,75.0,140,750.0,"Sandy Loam, Light Loam","Region IIa, Region IIb, Region I",TRB Zimbabwe (Tobacco Research Board) Agronomy Guidelines
Wheat,10.0,25.0,18.0,400.0,800.0,45.0,70.0,130,550.0,"Clay Loam, Deep Heavy Soil","Region IIa, Region IIb (Winter Irrigated)",AGRITEX Irrigated Winter Wheat Production Guide
Soybean,15.0,30.0,23.0,450.0,850.0,50.0,75.0,110,550.0,"Fertile Loam, pH 6.0-7.0","Region IIa, Region IIb",FAOSTAT & SeedCo Legume Agronomy Handbook
Cotton,20.0,35.0,28.0,400.0,750.0,40.0,65.0,160,600.0,"Deep Sandy Loam, Clay Loam","Region III, Region IV, Region V",Cotton Research Institute (CRI) Kadoma
Groundnuts,18.0,30.0,25.0,500.0,1000.0,50.0,80.0,130,600.0,"Light Sandy, Well-drained Loose Soil","Region IIb, Region III, Region IV",AGRITEX Groundnut Extension Manual
Sorghum,20.0,35.0,27.0,300.0,650.0,35.0,65.0,120,450.0,"Adaptable, Sandy, Clay, Low Fertility","Region IV, Region V, Region III",ICRISAT & AGRITEX Small Grains Technical Bulletin
Sunflower,15.0,30.0,24.0,400.0,700.0,40.0,70.0,115,500.0,"Well-drained Loam, Sandy Loam","Region III, Region IV",FAO Ecocrop Oilseeds Database
SweetPotato,15.0,28.0,23.0,500.0,1200.0,55.0,85.0,130,650.0,"Friable Sandy Loam, Mounded Beds","Region IIa, Region IIb, Region III, Region IV",CIP Root & Tuber Crop Manual
Cassava,15.0,35.0,26.0,500.0,2000.0,50.0,90.0,300,700.0,"Light Sandy Loam, Drought Tolerant","Region III, Region IV, Region V",IITA Cassava Production Guide
