location,crop,recommended,agronomist_id,reason,weather_conditions,soil_conditions,agro_ecological_zone,data_classification
Harare,Maize,1,AGRI-EXPERT-02,"Agronomic consensus for Harare (Region IIa): Maize is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region IIa,EXPERT GROUND-TRUTH DATA
Harare,Tobacco,1,AGRI-EXPERT-04,"Agronomic consensus for Harare (Region IIa): Tobacco is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region IIa,EXPERT GROUND-TRUTH DATA
Harare,Wheat,1,AGRI-EXPERT-02,"Agronomic consensus for Harare (Region IIa): Wheat is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region IIa,EXPERT GROUND-TRUTH DATA
Harare,Soybean,1,AGRI-EXPERT-03,"Agronomic consensus for Harare (Region IIa): Soybean is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region IIa,EXPERT GROUND-TRUTH DATA
Harare,Cotton,0,AGRI-EXPERT-04,Agronomic consensus for Harare (Region IIa): Cotton is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region IIa,EXPERT GROUND-TRUTH DATA
Harare,Groundnuts,0,AGRI-EXPERT-01,Agronomic consensus for Harare (Region IIa): Groundnuts is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region IIa,EXPERT GROUND-TRUTH DATA
Harare,Sorghum,0,AGRI-EXPERT-01,Agronomic consensus for Harare (Region IIa): Sorghum is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region IIa,EXPERT GROUND-TRUTH DATA
Harare,Sunflower,1,AGRI-EXPERT-04,"Agronomic consensus for Harare (Region IIa): Sunflower is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region IIa,EXPERT GROUND-TRUTH DATA
Harare,SweetPotato,1,AGRI-EXPERT-02,"Agronomic consensus for Harare (Region IIa): SweetPotato is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region IIa,EXPERT GROUND-TRUTH DATA
Harare,Cassava,0,AGRI-EXPERT-03,Agronomic consensus for Harare (Region IIa): Cassava is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 750mm","Loam / Sandy Loam, pH 6.0-6.8",Region IIa,EXPERT GROUND-TRUTH DATA
Bulawayo,Maize,0,AGRI-EXPERT-03,Agronomic consensus for Bulawayo (Region IV): Maize is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 450mm","Loam / Sandy Loam, pH 6.0-6.8",Region IV,EXPERT GROUND-TRUTH DATA
Bulawayo,Tobacco,0,AGRI-EXPERT-01,Agronomic consensus for Bulawayo (Region IV): Tobacco is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 450mm","Loam / Sandy Loam, pH 6.0-6.8",Region IV,EXPERT GROUND-TRUTH DATA
Bulawayo,Wheat,0,AGRI-EXPERT-03,Agronomic consensus for Bulawayo (Region IV): Wheat is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 450mm","Loam / Sandy Loam, pH 6.0-6.8",Region IV,EXPERT GROUND-TRUTH DATA
Bulawayo,Soybean,0,AGRI-EXPERT-01,Agronomic consensus for Bulawayo (Region IV): Soybean is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 450mm","Loam / Sandy Loam, pH 6.0-6.8",Region IV,EXPERT GROUND-TRUTH DATA
Bulawayo,Cotton,0,AGRI-EXPERT-04,Agronomic consensus for Bulawayo (Region IV): Cotton is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 450mm","Loam / Sandy Loam, pH 6.0-6.8",Region IV,EXPERT GROUND-TRUTH DATA
Bulawayo,Groundnuts,1,AGRI-EXPERT-04,"Agronomic consensus for Bulawayo (Region IV): Groundnuts is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 450mm","Loam / Sandy Loam, pH 6.0-6.8",Region IV,EXPERT GROUND-TRUTH DATA
Bulawayo,Sorghum,1,AGRI-EXPERT-03,"Agronomic consensus for Bulawayo (Region IV): Sorghum is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 450mm","Loam / Sandy Loam, pH 6.0-6.8",Region IV,EXPERT GROUND-TRUTH DATA
Bulawayo,Sunflower,1,AGRI-EXPERT-01,"Agronomic consensus for Bulawayo (Region IV): Sunflower is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 450mm","Loam / Sandy Loam, pH 6.0-6.8",Region IV,EXPERT GROUND-TRUTH DATA
Bulawayo,SweetPotato,0,AGRI-EXPERT-02,Agronomic consensus for Bulawayo (Region IV): SweetPotato is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 450mm","Loam / Sandy Loam, pH 6.0-6.8",Region IV,EXPERT GROUND-TRUTH DATA
Bulawayo,Cassava,1,AGRI-EXPERT-04,"Agronomic consensus for Bulawayo (Region IV): Cassava is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 450mm","Loam / Sandy Loam, pH 6.0-6.8",Region IV,EXPERT GROUND-TRUTH DATA
Mutare,Maize,1,AGRI-EXPERT-03,"Agronomic consensus for Mutare (Region I): Maize is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 350mm","Loam / Sandy Loam, pH 6.0-6.8",Region I,EXPERT GROUND-TRUTH DATA
Mutare,Tobacco,1,AGRI-EXPERT-03,"Agronomic consensus for Mutare (Region I): Tobacco is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 350mm","Loam / Sandy Loam, pH 6.0-6.8",Region I,EXPERT GROUND-TRUTH DATA
Mutare,Wheat,1,AGRI-EXPERT-02,"Agronomic consensus for Mutare (Region I): Wheat is highly recommended due to temperature, rainfall & soil match.","Average Temp 18-30C, Rainfall 350mm","Loam / Sandy Loam, pH 6.0-6.8",Region I,EXPERT GROUND-TRUTH DATA
Mutare,Soybean,0,AGRI-EXPERT-01,Agronomic consensus for Mutare (Region I): Soybean is not recommended due to inadequate rainfall or extreme heat.,"Average Temp 18-30C, Rainfall 350mm","Loam / Sandy Loam, pH 6.0-6.8",Region I,EXPERT GROUND-TRUTH DATA
